127.0.0.1 - - [05/Jan/2016:13:49:59 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E6%A2%A6%E7%9A%84%E8%A7%A3%E6%9E%90.jpg HTTP/1.1" 200 5285
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E6%9C%AC%E8%89%B2.jpg HTTP/1.1" 200 7926
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E6%80%AA%E8%AF%9E%E5%BF%83%E7%90%86%E5%AD%A6.jpg HTTP/1.1" 200 13329
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E4%B9%9D%E5%9E%8B%E4%BA%BA%E6%A0%BC.jpg HTTP/1.1" 200 17007
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E9%87%8D%E5%8F%A3%E5%91%B3%E5%BF%83%E7%90%86%E5%AD%A6.jpg HTTP/1.1" 200 15734
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E8%87%AA%E6%8E%A7%E5%8A%9B.jpg HTTP/1.1" 200 5519
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E8%87%AA%E7%A7%81%E7%9A%84%E5%9F%BA%E5%9B%A0.jpg HTTP/1.1" 200 9199
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E6%B2%89%E6%80%9D%E5%BD%95.jpg HTTP/1.1" 200 8430
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E7%AC%AC%E4%B8%89%E5%B8%9D%E5%9B%BD%E7%9A%84%E5%85%B4%E4%BA%A1.jpg HTTP/1.1" 200 9794
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E8%92%8B%E6%89%AC%E9%92%A6%E5%93%B2.jpg HTTP/1.1" 200 11059
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E5%A4%A9%E6%89%8D%E5%9C%A8%E5%B7%A6%E7%96%AF%E5%AD%90%E5%9C%A8%E5%8F%B3.jpg HTTP/1.1" 200 8385
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E6%98%8E%E6%9C%9D%E9%82%A3%E4%BA%9B%E4%BA%8B.jpg HTTP/1.1" 200 12575
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%BF%83%E7%90%86%E5%AD%A6/%E9%87%8D%E5%8F%A3%E5%91%B3%E5%BF%83%E7%90%86%E5%AD%A62.jpg HTTP/1.1" 200 16561
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%B0%8F%E8%AF%B4/%E8%BF%BD%E9%A3%8E%E7%AD%9D%E7%9A%84%E4%BA%BA.jpg HTTP/1.1" 200 31358
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E7%90%86%E6%83%B3%E5%9B%BD.jpg HTTP/1.1" 200 6953
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%B0%8F%E8%AF%B4/%E7%8B%BC%E7%89%99%E6%A6%9C.jpg HTTP/1.1" 200 9457
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E8%A5%BF%E8%97%8F%E7%94%9F%E6%AD%BB%E4%B9%A6.jpg HTTP/1.1" 200 8325
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E8%8B%8F%E8%8F%B2%E7%9A%84%E4%B8%96%E7%95%8C.jpg HTTP/1.1" 200 12685
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E4%B8%80%E5%88%87%E9%83%BD%E6%98%AF%E6%9C%80%E5%A5%BD%E7%9A%84%E5%AE%89%E6%8E%92.jpg HTTP/1.1" 200 11315
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E7%9F%A5%E8%A1%8C%E5%90%88%E4%B8%80.jpg HTTP/1.1" 200 13088
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%B0%8F%E8%AF%B4/%E4%B8%8D%E8%83%BD%E6%89%BF%E5%8F%97%E7%9A%84%E7%94%9F%E5%91%BD%E4%B9%8B%E8%BD%BB.png HTTP/1.1" 200 30148
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:17 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/%E5%93%B2%E5%8F%B2/%E4%B8%87%E5%8E%86%E5%8D%81%E4%BA%94%E5%B9%B4.jpg HTTP/1.1" 200 5384
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:18 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:20 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admin/adminlogin.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:24 +0800] "POST /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:24 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admin/admindo.jsp HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:24 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/img/background.jpg HTTP/1.1" 200 85380
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:50:26 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admindo/borrowdo.jsp HTTP/1.1" 200 6218
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:28 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admin/admindo.jsp HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:30 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:30 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/BookServlet?method=listImg HTTP/1.1" 200 19940
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:33 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admin/adminlogin.jsp HTTP/1.1" 200 2473
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:36 +0800] "POST /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/AdminLoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:36 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admin/admindo.jsp HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:53:38 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/admindo/returndo.jsp HTTP/1.1" 200 2783
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:39 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/users/login.jsp HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "POST /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.css HTTP/1.1" 404 1204
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-1.11.3.js HTTP/1.1" 404 1210
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.js HTTP/1.1" 404 1202
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/realpage.jsp HTTP/1.1" 200 27786
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.js HTTP/1.1" 404 1202
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:57:45 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/page/WEB-INF/lib/jquery-ui.css HTTP/1.1" 404 1204
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:05 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/BookDetailServlet?bookname=%E7%9C%8B%E8%A7%81 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:05 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/book/bookdetail.jsp HTTP/1.1" 200 9357
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:05 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/ueditor.all.min.js HTTP/1.1" 200 367990
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:05 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/ueditor.config.js HTTP/1.1" 200 20203
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:05 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/lang/zh-cn/zh-cn.js HTTP/1.1" 200 30020
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:05 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/themes/default/css/ueditor.css HTTP/1.1" 200 45440
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/jsp/controller.jsp?action=config&&noCache=1451973485872 HTTP/1.1" 200 2481
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/themes/iframe.css HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/themes/default/images/charts.png HTTP/1.1" 200 518
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/themes/default/images/icons.png HTTP/1.1" 200 19694
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/themes/default/images/scale.png HTTP/1.1" 200 167
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/third-party/codemirror/codemirror.js HTTP/1.1" 200 162186
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/third-party/codemirror/codemirror.css HTTP/1.1" 200 2888
0:0:0:0:0:0:0:1 - - [05/Jan/2016:13:58:06 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ueditor/third-party/zeroclipboard/ZeroClipboard.js HTTP/1.1" 200 43216
0:0:0:0:0:0:0:1 - - [05/Jan/2016:14:01:42 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/ListUserBorrowBookServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Jan/2016:14:01:42 +0800] "GET /%E5%9B%BE%E4%B9%A6%E9%A6%86%E7%AE%A1%E7%90%86%E7%B3%BB%E7%BB%9F/view/share/users/userinfo.jsp HTTP/1.1" 200 6396
